event_id,battle_id,turn,timestamp_utc,event_type,actor_id,target_id,skill_id,element,is_hit,is_crit,damage_amount,dot_type,dot_amount,token_type,token_delta,corruption_value,corruption_tier,battle_result
"6f1bd02711c94162acfb64c79843afa9","b1e562fbc02c4aaa8fb3a37fd7d146b7",0,"2026-03-23T18:13:48.6674840Z","BattleStarted","","","","None","False","False",0,"",0,"",0,25,0,""
"8919a8647c0c413d8370f62ad00e05a5","b1e562fbc02c4aaa8fb3a37fd7d146b7",1,"2026-03-23T18:13:48.6701934Z","TurnStarted","ally_2","","","None","False","False",0,"",0,"",0,25,0,""
"3ca326df8772487da9b522b388c46389","b1e562fbc02c4aaa8fb3a37fd7d146b7",1,"2026-03-23T18:13:48.6734722Z","ActionUsed","ally_2","enemy_2","wulfric_slash","Fire","False","False",0,"",0,"",0,25,0,""
"cafd61ca92224d568e0f8be218b4f3c3","b1e562fbc02c4aaa8fb3a37fd7d146b7",1,"2026-03-23T18:13:48.6747879Z","DamageApplied","ally_2","enemy_2","wulfric_slash","Fire","True","False",3,"",0,"",0,25,0,""
"b61f03d8137647989121f0134651f06b","b1e562fbc02c4aaa8fb3a37fd7d146b7",1,"2026-03-23T18:13:48.6748853Z","HitResolved","ally_2","enemy_2","wulfric_slash","Fire","True","False",3,"",0,"",0,25,0,""
"4c69be51a6594faab0df773ade1ef8ac","b1e562fbc02c4aaa8fb3a37fd7d146b7",1,"2026-03-23T18:13:48.6756915Z","TurnStarted","ally_1","","","None","False","False",0,"",0,"",0,25,0,""
"d911ab59f0f1406baed52ddf3ea20aff","b1e562fbc02c4aaa8fb3a37fd7d146b7",1,"2026-03-23T18:13:48.6757375Z","ActionUsed","ally_1","enemy_1","wulfric_slash","Fire","False","False",0,"",0,"",0,25,0,""
"dd1c855b9474436981ccd77983be32cb","b1e562fbc02c4aaa8fb3a37fd7d146b7",1,"2026-03-23T18:13:48.6757411Z","DamageApplied","ally_1","enemy_1","wulfric_slash","Fire","True","False",4,"",0,"",0,25,0,""
"6e1024c2e04f49a3845b27582d835436","b1e562fbc02c4aaa8fb3a37fd7d146b7",1,"2026-03-23T18:13:48.6757416Z","HitResolved","ally_1","enemy_1","wulfric_slash","Fire","True","False",4,"",0,"",0,25,0,""
"6ec4a5b6c19a4941af1f74bc69aef305","b1e562fbc02c4aaa8fb3a37fd7d146b7",1,"2026-03-23T18:13:48.6757470Z","TurnStarted","enemy_1","","","None","False","False",0,"",0,"",0,25,0,""
"7a54572487654aefb24bc951d4367eae","b1e562fbc02c4aaa8fb3a37fd7d146b7",1,"2026-03-23T18:13:48.6769101Z","ActionUsed","enemy_1","ally_2","spider_web","Anomaly","False","False",0,"",0,"",0,25,0,""
"a47a6b8b3f2c421388869a601dd6a8ef","b1e562fbc02c4aaa8fb3a37fd7d146b7",1,"2026-03-23T18:13:48.6769352Z","DamageApplied","enemy_1","ally_2","spider_web","Anomaly","True","False",3,"",0,"",0,25,0,""
"5c364ccdd926413fb14b5ba289f29977","b1e562fbc02c4aaa8fb3a37fd7d146b7",1,"2026-03-23T18:13:48.6769358Z","HitResolved","enemy_1","ally_2","spider_web","Anomaly","True","False",3,"",0,"",0,25,0,""
