event_id,battle_id,turn,timestamp_utc,event_type,actor_id,target_id,skill_id,element,is_hit,is_crit,damage_amount,dot_type,dot_amount,token_type,token_delta,corruption_value,corruption_tier,battle_result
"8b5722d2201e4739839e54f2dffe2caf","866bdaf9825f4bbea9326ef8b2b92a6f",0,"2026-03-23T18:11:44.8701292Z","BattleStarted","","","","None","False","False",0,"",0,"",0,67,2,""
"b9fdc03e76514d5b839fdb6349718683","866bdaf9825f4bbea9326ef8b2b92a6f",1,"2026-03-23T18:11:44.8737026Z","TurnStarted","ally_2","","","None","False","False",0,"",0,"",0,67,2,""
"4b9e2e9f805747bb8d6271dfbcb2ae54","866bdaf9825f4bbea9326ef8b2b92a6f",1,"2026-03-23T18:11:44.8777132Z","ActionUsed","ally_2","enemy_3","wulfric_slash","Fire","False","False",0,"",0,"",0,67,2,""
"1cd6b78403fb4c9b839e981a82f3e979","866bdaf9825f4bbea9326ef8b2b92a6f",1,"2026-03-23T18:11:44.8789792Z","DamageApplied","ally_2","enemy_3","wulfric_slash","Fire","True","False",3,"",0,"",0,67,2,""
"c7053d6e5b134292a00678e5e8e8eb45","866bdaf9825f4bbea9326ef8b2b92a6f",1,"2026-03-23T18:11:44.8790769Z","HitResolved","ally_2","enemy_3","wulfric_slash","Fire","True","False",3,"",0,"",0,67,2,""
"53259c9b43824bf5874afe8b926a3a41","866bdaf9825f4bbea9326ef8b2b92a6f",1,"2026-03-23T18:11:44.8799236Z","TurnStarted","ally_1","","","None","False","False",0,"",0,"",0,67,2,""
"e5d82dec8e964df0a1c0a967d4815174","866bdaf9825f4bbea9326ef8b2b92a6f",1,"2026-03-23T18:11:44.8799611Z","ActionUsed","ally_1","enemy_1","wulfric_slash","Fire","False","False",0,"",0,"",0,67,2,""
"ba71cb0c50f8455cb38ea6e80ff02d25","866bdaf9825f4bbea9326ef8b2b92a6f",1,"2026-03-23T18:11:44.8799643Z","DamageApplied","ally_1","enemy_1","wulfric_slash","Fire","True","False",5,"",0,"",0,67,2,""
"0dfdf4d6d2fb46b3a6ac44655d333db4","866bdaf9825f4bbea9326ef8b2b92a6f",1,"2026-03-23T18:11:44.8799648Z","HitResolved","ally_1","enemy_1","wulfric_slash","Fire","True","False",5,"",0,"",0,67,2,""
"062fbafe950247cdb1434b4502c99428","866bdaf9825f4bbea9326ef8b2b92a6f",1,"2026-03-23T18:11:44.8799768Z","TurnStarted","enemy_1","","","None","False","False",0,"",0,"",0,67,2,""
"325866809ece4a719d2a0261c96d1065","866bdaf9825f4bbea9326ef8b2b92a6f",1,"2026-03-23T18:11:44.8814647Z","ActionUsed","enemy_1","ally_1","spider_web","Anomaly","False","False",0,"",0,"",0,67,2,""
"fb4f5ff83f2f405bbb0fbb67da42d1c2","866bdaf9825f4bbea9326ef8b2b92a6f",1,"2026-03-23T18:11:44.8814896Z","DamageApplied","enemy_1","ally_1","spider_web","Anomaly","True","False",3,"",0,"",0,67,2,""
"8e3ca48a01b844089fbf8f5e5cf0cbdb","866bdaf9825f4bbea9326ef8b2b92a6f",1,"2026-03-23T18:11:44.8814904Z","HitResolved","enemy_1","ally_1","spider_web","Anomaly","True","False",3,"",0,"",0,67,2,""
"bde3ada13ddf451d9496659a0c7541f0","866bdaf9825f4bbea9326ef8b2b92a6f",1,"2026-03-23T18:11:44.8831195Z","TokenApplied","enemy_1","ally_1","spider_web","None","False","False",0,"",0,"Combo",1,67,2,""
"9c3da850d7cc4682bb37ab0d45249e47","866bdaf9825f4bbea9326ef8b2b92a6f",1,"2026-03-23T18:11:44.8834624Z","TurnStarted","enemy_3","","","None","False","False",0,"",0,"",0,67,2,""
"af9587c20d02499296d4fccd9ce0276e","866bdaf9825f4bbea9326ef8b2b92a6f",1,"2026-03-23T18:11:44.8835559Z","ActionUsed","enemy_3","ally_1","spider_bite","Fire","False","False",0,"",0,"",0,67,2,""
