event_id,battle_id,turn,timestamp_utc,event_type,actor_id,target_id,skill_id,element,is_hit,is_crit,damage_amount,dot_type,dot_amount,token_type,token_delta,corruption_value,corruption_tier,battle_result
"9a1ad4ed7b2a45d699438f2bcd0e4e3c","e4b41f6d4d4b4087a88d0f7d72474d6e",0,"2026-03-23T18:04:49.7480345Z","BattleStarted","","","","None","False","False",0,"",0,"",0,67,2,""
"25956dc971224bbfafb99941cf268c61","e4b41f6d4d4b4087a88d0f7d72474d6e",1,"2026-03-23T18:04:49.7512215Z","TurnStarted","ally_2","","","None","False","False",0,"",0,"",0,67,2,""
"e3c780768c3142e8b45540849dd46095","e4b41f6d4d4b4087a88d0f7d72474d6e",1,"2026-03-23T18:04:49.7548219Z","ActionUsed","ally_2","enemy_3","wulfric_slash","Fire","False","False",0,"",0,"",0,67,2,""
"dc2d2332e8f14e35969eb1652016e7ac","e4b41f6d4d4b4087a88d0f7d72474d6e",1,"2026-03-23T18:04:49.7561449Z","DamageApplied","ally_2","enemy_3","wulfric_slash","Fire","True","False",3,"",0,"",0,67,2,""
"060b963f144a4b0999f41b4c3b1d262e","e4b41f6d4d4b4087a88d0f7d72474d6e",1,"2026-03-23T18:04:49.7562475Z","HitResolved","ally_2","enemy_3","wulfric_slash","Fire","True","False",3,"",0,"",0,67,2,""
"46c280188e71443b943cdf170585ba4c","e4b41f6d4d4b4087a88d0f7d72474d6e",1,"2026-03-23T18:04:49.7570910Z","TurnStarted","ally_1","","","None","False","False",0,"",0,"",0,67,2,""
"b6500c3cf07b444f986c3c3958284624","e4b41f6d4d4b4087a88d0f7d72474d6e",1,"2026-03-23T18:04:49.7571320Z","ActionUsed","ally_1","enemy_1","wulfric_slash","Fire","False","False",0,"",0,"",0,67,2,""
"028a472241ca4e2d921c71b7f62a9de2","e4b41f6d4d4b4087a88d0f7d72474d6e",1,"2026-03-23T18:04:49.7571368Z","DamageApplied","ally_1","enemy_1","wulfric_slash","Fire","True","False",5,"",0,"",0,67,2,""
"0bc3261b49c54ca78cba3026320687fb","e4b41f6d4d4b4087a88d0f7d72474d6e",1,"2026-03-23T18:04:49.7571373Z","HitResolved","ally_1","enemy_1","wulfric_slash","Fire","True","False",5,"",0,"",0,67,2,""
"19af1d2df1ef4cf2976d71dfcffdd9fa","e4b41f6d4d4b4087a88d0f7d72474d6e",1,"2026-03-23T18:04:49.7571475Z","TurnStarted","enemy_1","","","None","False","False",0,"",0,"",0,67,2,""
"8c2e9d7a6a9b45339da54c0392d2bd4d","e4b41f6d4d4b4087a88d0f7d72474d6e",1,"2026-03-23T18:04:49.7584376Z","ActionUsed","enemy_1","ally_1","spider_web","Anomaly","False","False",0,"",0,"",0,67,2,""
"998426995dcd43ce8642b81a368c03de","e4b41f6d4d4b4087a88d0f7d72474d6e",1,"2026-03-23T18:04:49.7584610Z","DamageApplied","enemy_1","ally_1","spider_web","Anomaly","True","False",3,"",0,"",0,67,2,""
"744943e2f507401583f9d3b851c79d50","e4b41f6d4d4b4087a88d0f7d72474d6e",1,"2026-03-23T18:04:49.7584616Z","HitResolved","enemy_1","ally_1","spider_web","Anomaly","True","False",3,"",0,"",0,67,2,""
"a27084aa94964001af516608024191c5","e4b41f6d4d4b4087a88d0f7d72474d6e",1,"2026-03-23T18:04:49.7598493Z","TokenApplied","enemy_1","ally_1","spider_web","None","False","False",0,"",0,"Combo",1,67,2,""
